HCHO_Amount,Present_Date
0.0001760713459877,2019-01-01
9.220391253917748e-05,2019-01-02
0.0001908681983853,2019-01-04
0.0001219517840206,2019-01-05
0.0001632382063926,2019-01-07
0.0001279693658243,2019-01-09
4.546048424126012e-05,2019-01-10
3.600074175192105e-05,2019-01-11
0.000128662969801,2019-01-12
9.63639634671553e-05,2019-01-15
0.0001200971278484,2019-01-17
0.0002825263761529,2019-01-19
7.150631692646835e-05,2019-01-20
0.0002833741508232,2019-01-21
0.0002659407549829,2019-01-22
5.8649506506635245e-05,2019-01-23
0.0001092931769982,2019-01-25
7.03689579655349e-05,2019-01-26
0.0001647056354631,2019-01-27
0.0001130180465294,2019-01-28
0.0001141272676955,2019-01-29
1.5133123262338617e-05,2019-01-31
9.510527997488848e-05,2019-02-01
3.0694719505487384e-05,2019-02-02
3.521572625649498e-05,2019-02-06
0.000144733119523,2019-02-07
7.648542999350917e-05,2019-02-08
6.33983046513048e-05,2019-02-11
6.099527672631667e-05,2019-02-12
1.8666852257755813e-05,2019-02-15
0.0001525741076541,2019-02-17
0.0001316059809503,2019-02-18
5.400887798459826e-05,2019-02-19
3.130874441109665e-05,2019-02-20
0.0001148911736891,2019-02-22
0.0002118789208893,2019-02-23
3.663116612296087e-05,2019-02-24
4.493778690247384e-05,2019-02-25
0.000113648535998,2019-03-02
0.0001120620195392,2019-03-03
0.0002530551243115,2019-03-04
0.0002326652722074,2019-03-05
0.0001284045619553,2019-03-06
0.0001646112972623,2019-03-07
0.000177511546709,2019-03-08
0.0001138036418406,2019-03-10
0.0001638923213232,2019-03-11
0.0001764080320851,2019-03-12
4.218809439496275e-05,2019-03-13
0.0001620084507506,2019-03-14
0.0001104143683767,2019-03-15
0.0001981838605184,2019-03-16
0.0001831507209264,2019-03-17
0.0002067529282929,2019-03-19
0.0001473883183271,2019-03-20
0.0001790459257074,2019-03-22
0.0002471924438964,2019-03-24
0.000219244095107,2019-03-25
9.90805371426681e-05,2019-03-26
0.0002333027310032,2019-03-27
0.0002802419303598,2019-03-28
0.0001790145679855,2019-03-30
0.0002927234455484,2019-03-31
0.0003099209346141,2019-04-01
0.0001707946467973,2019-04-02
0.0002427714893424,2019-04-03
0.0002338054752107,2019-04-04
0.0001627528749175,2019-04-05
0.0001725198818631,2019-04-06
0.000270485470537,2019-04-07
0.0002632230681999,2019-04-08
0.0002203272160841,2019-04-09
0.0002119455363545,2019-04-12
8.435604480337817e-05,2019-04-13
0.0001367393922806,2019-04-18
0.0001502073732536,2019-04-19
0.0001330528287211,2019-04-21
0.0002652660056679,2019-04-22
0.0001897010952234,2019-04-23
0.000115200123351,2019-04-24
0.0001738814462858,2019-04-28
0.0002141238897929,2019-05-04
7.564946081848705e-05,2019-05-05
0.0001629478259072,2019-05-06
0.0001492011730946,2019-05-07
0.0001659245919994,2019-05-08
0.0001472336010995,2019-05-09
0.0002406209292845,2019-05-10
