HCHO_Amount,Present_Date
1.919914652467399e-05,2019-01-02
2.8114479359302837e-05,2019-01-03
3.747998184385943e-05,2019-01-04
0.0001457836896179,2019-01-06
2.8285908025465342e-05,2019-01-07
0.000142085016705,2019-01-09
2.014587947072581e-05,2019-01-11
0.000158278766321,2019-01-12
9.952823849642218e-05,2019-01-15
7.484570960514249e-05,2019-01-16
7.736112226328797e-05,2019-01-17
3.9881410104076654e-05,2019-01-19
0.0001891620203853,2019-01-20
0.0001159969926423,2019-01-21
0.0001413523623709,2019-01-22
7.165379525100222e-05,2019-01-23
0.000180567368996,2019-01-27
9.113160086427456e-05,2019-01-28
7.241739856355372e-05,2019-01-29
4.098144742473462e-05,2019-01-31
5.186428352058307e-05,2019-02-01
1.051353380619686e-05,2019-02-06
4.076109671524861e-05,2019-02-07
7.59353421234044e-05,2019-02-08
7.34858268449358e-05,2019-02-10
1.0584419214865193e-05,2019-02-11
6.919795120446755e-05,2019-02-12
0.0001623480638954,2019-02-15
2.6644206895973665e-05,2019-02-16
0.0001362413198283,2019-02-17
5.895095797941796e-05,2019-02-18
7.990708924877695e-05,2019-02-19
8.647263683420719e-05,2019-02-20
6.580490440211678e-05,2019-02-21
0.0001173317679715,2019-02-22
0.0001372664223727,2019-02-23
0.0001183587731956,2019-02-24
0.0002015221799451,2019-03-02
0.0002333378601804,2019-03-03
0.0001130560234093,2019-03-04
8.923271256196186e-05,2019-03-05
4.2696494065404425e-05,2019-03-06
0.0001021544478428,2019-03-07
0.000104415711202,2019-03-08
0.0001057629100291,2019-03-10
0.0001954688702953,2019-03-11
0.0002339561330231,2019-03-12
5.33002191604215e-05,2019-03-14
0.000123402480465,2019-03-15
9.934245878113424e-05,2019-03-16
1.3218968888395464e-05,2019-03-18
0.0001449778092531,2019-03-19
7.633388390013924e-05,2019-03-20
0.0001480680220993,2019-03-21
4.698590924918041e-05,2019-03-22
0.0001512098013132,2019-03-24
7.338239494073005e-05,2019-03-25
8.133633841564141e-05,2019-03-26
9.850572535486576e-05,2019-03-27
0.0001319502848265,2019-03-28
0.000286010842239,2019-03-30
0.0001691464753809,2019-03-31
0.0002311358269746,2019-04-01
0.0001839505016603,2019-04-02
0.0002120842642893,2019-04-03
2.6559009192573393e-05,2019-04-04
8.134434422682388e-05,2019-04-05
0.0001323410016791,2019-04-06
0.0001584331711474,2019-04-07
0.0002055366407123,2019-04-08
0.0002659180015952,2019-04-09
0.0001209464124475,2019-04-10
6.731434962449994e-05,2019-04-12
0.000172293422113,2019-04-13
3.0456606050663313e-05,2019-04-19
3.9441730173904633e-05,2019-04-20
0.0001087346840901,2019-04-23
0.0001426274278835,2019-04-24
0.0002504993387901,2019-04-28
0.0001447003060889,2019-05-01
0.000243087771434,2019-05-03
0.000166357540416,2019-05-04
0.0001117983754452,2019-05-05
0.0002294637627646,2019-05-06
0.0003124401430261,2019-05-07
0.0002250056587289,2019-05-08
0.0002085735307819,2019-05-09
