Location,Month,Average Temperature(°C),Year,Unemployment Rate,Tree Cover Loss (ha)
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,January,25.8,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,February,26.4,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,March,26.9,2019,7.5,263
Matara,April,27.0,2019,7.5,263
Matara,April,27.0,2019,7.5,263
Matara,April,27.0,2019,7.5,263
Matara,April,27.0,2019,7.5,263
Matara,April,27.0,2019,7.5,263
Matara,April,27.0,2019,7.5,263
Matara,April,27.0,2019,7.5,263
