HCHO_Amount,Location,Present_Date,Next_Date
0.0001760713459877,Kandy,2019-01-01,2019-01-02
9.220391253917748e-05,Kandy,2019-01-02,2019-01-03
0.0001908681983853,Kandy,2019-01-04,2019-01-05
0.0001219517840206,Kandy,2019-01-05,2019-01-06
0.0001632382063926,Kandy,2019-01-07,2019-01-08
0.0001279693658243,Kandy,2019-01-09,2019-01-10
4.546048424126012e-05,Kandy,2019-01-10,2019-01-11
3.600074175192105e-05,Kandy,2019-01-11,2019-01-12
0.000128662969801,Kandy,2019-01-12,2019-01-13
9.63639634671553e-05,Kandy,2019-01-15,2019-01-16
0.0001200971278484,Kandy,2019-01-17,2019-01-18
0.0002825263761529,Kandy,2019-01-19,2019-01-20
7.150631692646835e-05,Kandy,2019-01-20,2019-01-21
0.0002833741508232,Kandy,2019-01-21,2019-01-22
0.0002659407549829,Kandy,2019-01-22,2019-01-23
5.8649506506635245e-05,Kandy,2019-01-23,2019-01-24
0.0001092931769982,Kandy,2019-01-25,2019-01-26
7.03689579655349e-05,Kandy,2019-01-26,2019-01-27
0.0001647056354631,Kandy,2019-01-27,2019-01-28
0.0001130180465294,Kandy,2019-01-28,2019-01-29
0.0001141272676955,Kandy,2019-01-29,2019-01-30
1.5133123262338617e-05,Kandy,2019-01-31,2019-02-01
9.510527997488848e-05,Kandy,2019-02-01,2019-02-02
3.0694719505487384e-05,Kandy,2019-02-02,2019-02-03
3.521572625649498e-05,Kandy,2019-02-06,2019-02-07
0.000144733119523,Kandy,2019-02-07,2019-02-08
7.648542999350917e-05,Kandy,2019-02-08,2019-02-09
6.33983046513048e-05,Kandy,2019-02-11,2019-02-12
6.099527672631667e-05,Kandy,2019-02-12,2019-02-13
1.8666852257755813e-05,Kandy,2019-02-15,2019-02-16
0.0001525741076541,Kandy,2019-02-17,2019-02-18
0.0001316059809503,Kandy,2019-02-18,2019-02-19
5.400887798459826e-05,Kandy,2019-02-19,2019-02-20
3.130874441109665e-05,Kandy,2019-02-20,2019-02-21
0.0001148911736891,Kandy,2019-02-22,2019-02-23
0.0002118789208893,Kandy,2019-02-23,2019-02-24
3.663116612296087e-05,Kandy,2019-02-24,2019-02-25
4.493778690247384e-05,Kandy,2019-02-25,2019-02-26
0.000113648535998,Kandy,2019-03-02,2019-03-03
0.0001120620195392,Kandy,2019-03-03,2019-03-04
0.0002530551243115,Kandy,2019-03-04,2019-03-05
0.0002326652722074,Kandy,2019-03-05,2019-03-06
0.0001284045619553,Kandy,2019-03-06,2019-03-07
0.0001646112972623,Kandy,2019-03-07,2019-03-08
0.000177511546709,Kandy,2019-03-08,2019-03-09
0.0001138036418406,Kandy,2019-03-10,2019-03-11
0.0001638923213232,Kandy,2019-03-11,2019-03-12
0.0001764080320851,Kandy,2019-03-12,2019-03-13
4.218809439496275e-05,Kandy,2019-03-13,2019-03-14
0.0001620084507506,Kandy,2019-03-14,2019-03-15
0.0001104143683767,Kandy,2019-03-15,2019-03-16
0.0001981838605184,Kandy,2019-03-16,2019-03-17
0.0001831507209264,Kandy,2019-03-17,2019-03-18
0.0002067529282929,Kandy,2019-03-19,2019-03-20
