HCHO_Amount,Location,Present_Date,Next_Date
8.829725542537962e-05,Kurunegala,2019-01-01,2019-01-02
0.0001370787402778,Kurunegala,2019-01-02,2019-01-03
0.0001480085027113,Kurunegala,2019-01-03,2019-01-04
0.0002489134742856,Kurunegala,2019-01-05,2019-01-06
0.0001015583300177,Kurunegala,2019-01-06,2019-01-07
0.000191905666819,Kurunegala,2019-01-07,2019-01-08
0.0001215500456138,Kurunegala,2019-01-08,2019-01-09
9.741700467262771e-05,Kurunegala,2019-01-09,2019-01-10
0.0001130342628012,Kurunegala,2019-01-10,2019-01-11
7.047632943988818e-05,Kurunegala,2019-01-11,2019-01-12
0.0001691712548577,Kurunegala,2019-01-12,2019-01-13
8.792493954777681e-05,Kurunegala,2019-01-15,2019-01-16
6.834336052834083e-05,Kurunegala,2019-01-16,2019-01-17
0.0001380624797849,Kurunegala,2019-01-17,2019-01-18
0.0001738223309452,Kurunegala,2019-01-18,2019-01-19
9.75617828184706e-05,Kurunegala,2019-01-20,2019-01-21
0.0001959789194475,Kurunegala,2019-01-21,2019-01-22
0.0002374446632005,Kurunegala,2019-01-22,2019-01-23
0.0001623734482581,Kurunegala,2019-01-23,2019-01-24
0.0003623356418718,Kurunegala,2019-01-24,2019-01-25
0.0001278521652785,Kurunegala,2019-01-25,2019-01-26
0.0001660436439104,Kurunegala,2019-01-26,2019-01-27
0.0001499965666254,Kurunegala,2019-01-27,2019-01-28
0.0001080499254242,Kurunegala,2019-01-28,2019-01-29
0.0001158141900096,Kurunegala,2019-01-29,2019-01-30
0.0001113523173507,Kurunegala,2019-01-30,2019-01-31
2.449285979142846e-05,Kurunegala,2019-01-31,2019-02-01
0.0001926267275908,Kurunegala,2019-02-01,2019-02-02
4.824408500716178e-05,Kurunegala,2019-02-02,2019-02-03
0.0001913403998944,Kurunegala,2019-02-06,2019-02-07
0.0002947662047032,Kurunegala,2019-02-07,2019-02-08
0.0002970068599097,Kurunegala,2019-02-08,2019-02-09
7.523556172334847e-05,Kurunegala,2019-02-10,2019-02-11
