HCHO_Amount,Present_Date
5.803530712000793e-06,2019-01-02
0.0002362357772653,2019-01-03
6.437245753953118e-05,2019-01-04
5.349707092885017e-05,2019-01-05
0.0001315594859189,2019-01-06
6.269859896976347e-05,2019-01-07
2.298263979970634e-05,2019-01-08
7.190247186715247e-05,2019-01-10
0.0001542091441034,2019-01-11
0.0001406986305217,2019-01-12
7.187311712186784e-05,2019-01-15
3.5053075407631695e-05,2019-01-16
0.0001694853136055,2019-01-17
0.0003082256948783,2019-01-18
6.0375266285424514e-05,2019-01-20
3.363791867442001e-05,2019-01-22
0.0001753175803488,2019-01-23
5.2793313875356256e-05,2019-01-24
0.0001586517467092,2019-01-28
0.0001037720817875,2019-01-29
4.768084267461017e-05,2019-01-31
5.617168790830808e-05,2019-02-01
0.0001028843263981,2019-02-03
0.000103548176412,2019-02-04
8.412867361170815e-05,2019-02-05
0.0001495798303155,2019-02-07
0.0002421511611906,2019-02-08
9.253276543587998e-05,2019-02-11
0.0001574102690481,2019-02-12
6.523994226828871e-05,2019-02-13
8.038732615390482e-05,2019-02-16
0.0001293821304845,2019-02-18
0.0001168615135118,2019-02-19
8.337509543093406e-05,2019-02-20
2.514510513135289e-05,2019-02-21
0.0001425070075459,2019-02-22
0.0001366694245436,2019-02-23
0.0001627625602433,2019-02-24
0.0001543677869547,2019-02-25
0.0001663931743162,2019-02-28
9.971738595225878e-05,2019-03-06
0.0001356645928779,2019-03-07
9.87355639618488e-05,2019-03-08
5.6466989097736635e-05,2019-03-10
0.0001590144307147,2019-03-11
0.0001171489486397,2019-03-12
0.0002678319367111,2019-03-14
0.0001973485736028,2019-03-15
5.13548232774661e-05,2019-03-16
4.457512841327116e-05,2019-03-18
0.0002551880668476,2019-03-19
8.954724124801195e-05,2019-03-20
0.0001081070493299,2019-03-22
0.0001883458499592,2019-03-23
0.000171727504349,2019-03-24
0.0003326517375935,2019-03-25
0.0001650504145461,2019-03-26
0.0001789494366016,2019-03-27
0.0001818030703527,2019-03-28
4.044847087752865e-05,2019-03-29
0.0001046297780589,2019-04-01
8.128573946871756e-05,2019-04-02
6.149668792726311e-05,2019-04-03
9.296972991768896e-05,2019-04-04
0.0001659114059293,2019-04-06
0.000143890350864,2019-04-08
6.20313630194549e-05,2019-04-10
8.426213025813922e-05,2019-04-11
0.0001655760267849,2019-04-12
0.0002243445980376,2019-04-13
0.0001076937462352,2019-04-18
0.0001167011796496,2019-04-22
5.12579766773392e-05,2019-04-23
0.0001783669821192,2019-04-24
0.0001871501881396,2019-04-28
0.0001513876780742,2019-05-01
5.434144155589335e-05,2019-05-04
7.521904743490836e-05,2019-05-05
6.477919130672735e-05,2019-05-06
8.903688521043591e-05,2019-05-07
0.0001266048084834,2019-05-08
0.0001186255669854,2019-05-09
8.904187787431491e-05,2019-05-10
2.949114473778149e-05,2019-05-11
4.16907598251222e-05,2019-05-12
9.758382500903084e-05,2019-05-14
0.0001890657581933,2019-05-15
0.0001197343556303,2019-05-16
0.0001049880638621,2019-05-17
9.658265808306529e-05,2019-05-19
1.0668271897884551e-05,2019-05-20
0.000314141457475,2019-05-21
8.360032868662833e-05,2019-05-24
5.2382561264022686e-05,2019-05-25
0.0001127015595865,2019-05-26
0.000110648214343,2019-05-27
0.0001113564054257,2019-05-28
0.0001309619983658,2019-05-31
7.860539060937241e-05,2019-06-01
1.947566942113531e-05,2019-06-03
8.82573060809885e-05,2019-06-09
0.0002606536600287,2019-06-11
0.0001034896122957,2019-06-13
9.794863285570833e-05,2019-06-15
0.0001217725225117,2019-06-16
3.626547253389472e-05,2019-06-20
3.066723729716614e-05,2019-06-25
5.938476593081347e-05,2019-06-26
0.0001501880620112,2019-06-27
8.48560045610269e-08,2019-06-28
1.865870755620223e-05,2019-06-29
8.076289701838124e-05,2019-06-30
0.0001565128040965,2019-07-01
7.822883224906507e-05,2019-07-02
6.491148472259721e-05,2019-07-04
0.0001015658193247,2019-07-05
0.0001854224783202,2019-07-06
9.519535246307652e-05,2019-07-07
0.000122118023414,2019-07-08
3.5168823276630766e-05,2019-07-10
9.399985364620808e-05,2019-07-11
9.815205823701609e-05,2019-07-12
0.000155182766871,2019-07-13
3.06090383772373e-05,2019-07-14
3.9205342571432974e-05,2019-07-16
2.7530496770538245e-05,2019-07-23
1.917795009592158e-06,2019-07-24
1.6406873869175554e-05,2019-07-27
0.0001339288013077,2019-07-29
3.6934841833654336e-05,2019-07-31
6.79387627216613e-05,2019-08-01
0.0001027113576807,2019-08-03
7.763261304247379e-05,2019-08-04
5.245533362906521e-05,2019-08-05
4.8707759228402166e-05,2019-08-18
1.187302498785714e-05,2019-08-19
0.0002373940806137,2019-08-20
6.798230223314625e-05,2019-08-29
0.0001003325498068,2019-08-30
6.411903520786512e-05,2019-09-02
9.78157384524139e-05,2019-09-03
9.791662909121674e-05,2019-09-04
7.900931868731356e-05,2019-09-07
4.326489287765812e-05,2019-09-09
4.263753551153884e-05,2019-09-10
8.720108094777346e-05,2019-09-12
7.855770871679348e-05,2019-09-13
