HCHO_Amount,Location,Present_Date,Next_Date
5.803530712000793e-06,Matara,2019-01-02,2019-01-03
0.0002362357772653,Matara,2019-01-03,2019-01-04
6.437245753953118e-05,Matara,2019-01-04,2019-01-05
5.349707092885017e-05,Matara,2019-01-05,2019-01-06
0.0001315594859189,Matara,2019-01-06,2019-01-07
6.269859896976347e-05,Matara,2019-01-07,2019-01-08
2.298263979970634e-05,Matara,2019-01-08,2019-01-09
7.190247186715247e-05,Matara,2019-01-10,2019-01-11
0.0001542091441034,Matara,2019-01-11,2019-01-12
0.0001406986305217,Matara,2019-01-12,2019-01-13
7.187311712186784e-05,Matara,2019-01-15,2019-01-16
3.5053075407631695e-05,Matara,2019-01-16,2019-01-17
0.0001694853136055,Matara,2019-01-17,2019-01-18
0.0003082256948783,Matara,2019-01-18,2019-01-19
6.0375266285424514e-05,Matara,2019-01-20,2019-01-21
3.363791867442001e-05,Matara,2019-01-22,2019-01-23
0.0001753175803488,Matara,2019-01-23,2019-01-24
5.2793313875356256e-05,Matara,2019-01-24,2019-01-25
0.0001586517467092,Matara,2019-01-28,2019-01-29
0.0001037720817875,Matara,2019-01-29,2019-01-30
4.768084267461017e-05,Matara,2019-01-31,2019-02-01
5.617168790830808e-05,Matara,2019-02-01,2019-02-02
0.0001028843263981,Matara,2019-02-03,2019-02-04
0.000103548176412,Matara,2019-02-04,2019-02-05
8.412867361170815e-05,Matara,2019-02-05,2019-02-06
0.0001495798303155,Matara,2019-02-07,2019-02-08
0.0002421511611906,Matara,2019-02-08,2019-02-09
9.253276543587998e-05,Matara,2019-02-11,2019-02-12
0.0001574102690481,Matara,2019-02-12,2019-02-13
6.523994226828871e-05,Matara,2019-02-13,2019-02-14
8.038732615390482e-05,Matara,2019-02-16,2019-02-17
0.0001293821304845,Matara,2019-02-18,2019-02-19
0.0001168615135118,Matara,2019-02-19,2019-02-20
8.337509543093406e-05,Matara,2019-02-20,2019-02-21
2.514510513135289e-05,Matara,2019-02-21,2019-02-22
0.0001425070075459,Matara,2019-02-22,2019-02-23
0.0001366694245436,Matara,2019-02-23,2019-02-24
0.0001627625602433,Matara,2019-02-24,2019-02-25
0.0001543677869547,Matara,2019-02-25,2019-02-26
0.0001663931743162,Matara,2019-02-28,2019-03-01
9.971738595225878e-05,Matara,2019-03-06,2019-03-07
0.0001356645928779,Matara,2019-03-07,2019-03-08
9.87355639618488e-05,Matara,2019-03-08,2019-03-09
5.6466989097736635e-05,Matara,2019-03-10,2019-03-11
0.0001590144307147,Matara,2019-03-11,2019-03-12
0.0001171489486397,Matara,2019-03-12,2019-03-13
0.0002678319367111,Matara,2019-03-14,2019-03-15
0.0001973485736028,Matara,2019-03-15,2019-03-16
5.13548232774661e-05,Matara,2019-03-16,2019-03-17
4.457512841327116e-05,Matara,2019-03-18,2019-03-19
0.0002551880668476,Matara,2019-03-19,2019-03-20
8.954724124801195e-05,Matara,2019-03-20,2019-03-21
0.0001081070493299,Matara,2019-03-22,2019-03-23
0.0001883458499592,Matara,2019-03-23,2019-03-24
0.000171727504349,Matara,2019-03-24,2019-03-25
0.0003326517375935,Matara,2019-03-25,2019-03-26
0.0001650504145461,Matara,2019-03-26,2019-03-27
0.0001789494366016,Matara,2019-03-27,2019-03-28
0.0001818030703527,Matara,2019-03-28,2019-03-29
4.044847087752865e-05,Matara,2019-03-29,2019-03-30
0.0001046297780589,Matara,2019-04-01,2019-04-02
8.128573946871756e-05,Matara,2019-04-02,2019-04-03
6.149668792726311e-05,Matara,2019-04-03,2019-04-04
9.296972991768896e-05,Matara,2019-04-04,2019-04-05
0.0001659114059293,Matara,2019-04-06,2019-04-07
0.000143890350864,Matara,2019-04-08,2019-04-09
6.20313630194549e-05,Matara,2019-04-10,2019-04-11
8.426213025813922e-05,Matara,2019-04-11,2019-04-12
0.0001655760267849,Matara,2019-04-12,2019-04-13
0.0002243445980376,Matara,2019-04-13,2019-04-14
0.0001076937462352,Matara,2019-04-18,2019-04-19
0.0001167011796496,Matara,2019-04-22,2019-04-23
5.12579766773392e-05,Matara,2019-04-23,2019-04-24
0.0001783669821192,Matara,2019-04-24,2019-04-25
0.0001871501881396,Matara,2019-04-28,2019-04-29
0.0001513876780742,Matara,2019-05-01,2019-05-02
5.434144155589335e-05,Matara,2019-05-04,2019-05-05
7.521904743490836e-05,Matara,2019-05-05,2019-05-06
6.477919130672735e-05,Matara,2019-05-06,2019-05-07
8.903688521043591e-05,Matara,2019-05-07,2019-05-08
0.0001266048084834,Matara,2019-05-08,2019-05-09
0.0001186255669854,Matara,2019-05-09,2019-05-10
8.904187787431491e-05,Matara,2019-05-10,2019-05-11
2.949114473778149e-05,Matara,2019-05-11,2019-05-12
4.16907598251222e-05,Matara,2019-05-12,2019-05-13
9.758382500903084e-05,Matara,2019-05-14,2019-05-15
0.0001890657581933,Matara,2019-05-15,2019-05-16
0.0001197343556303,Matara,2019-05-16,2019-05-17
0.0001049880638621,Matara,2019-05-17,2019-05-18
9.658265808306529e-05,Matara,2019-05-19,2019-05-20
1.0668271897884551e-05,Matara,2019-05-20,2019-05-21
0.000314141457475,Matara,2019-05-21,2019-05-22
8.360032868662833e-05,Matara,2019-05-24,2019-05-25
5.2382561264022686e-05,Matara,2019-05-25,2019-05-26
0.0001127015595865,Matara,2019-05-26,2019-05-27
0.000110648214343,Matara,2019-05-27,2019-05-28
0.0001113564054257,Matara,2019-05-28,2019-05-29
0.0001309619983658,Matara,2019-05-31,2019-06-01
7.860539060937241e-05,Matara,2019-06-01,2019-06-02
1.947566942113531e-05,Matara,2019-06-03,2019-06-04
8.82573060809885e-05,Matara,2019-06-09,2019-06-10
0.0002606536600287,Matara,2019-06-11,2019-06-12
0.0001034896122957,Matara,2019-06-13,2019-06-14
9.794863285570833e-05,Matara,2019-06-15,2019-06-16
0.0001217725225117,Matara,2019-06-16,2019-06-17
3.626547253389472e-05,Matara,2019-06-20,2019-06-21
3.066723729716614e-05,Matara,2019-06-25,2019-06-26
5.938476593081347e-05,Matara,2019-06-26,2019-06-27
0.0001501880620112,Matara,2019-06-27,2019-06-28
8.48560045610269e-08,Matara,2019-06-28,2019-06-29
1.865870755620223e-05,Matara,2019-06-29,2019-06-30
8.076289701838124e-05,Matara,2019-06-30,2019-07-01
0.0001565128040965,Matara,2019-07-01,2019-07-02
7.822883224906507e-05,Matara,2019-07-02,2019-07-03
6.491148472259721e-05,Matara,2019-07-04,2019-07-05
0.0001015658193247,Matara,2019-07-05,2019-07-06
0.0001854224783202,Matara,2019-07-06,2019-07-07
9.519535246307652e-05,Matara,2019-07-07,2019-07-08
0.000122118023414,Matara,2019-07-08,2019-07-09
3.5168823276630766e-05,Matara,2019-07-10,2019-07-11
9.399985364620808e-05,Matara,2019-07-11,2019-07-12
9.815205823701609e-05,Matara,2019-07-12,2019-07-13
0.000155182766871,Matara,2019-07-13,2019-07-14
3.06090383772373e-05,Matara,2019-07-14,2019-07-15
3.9205342571432974e-05,Matara,2019-07-16,2019-07-17
2.7530496770538245e-05,Matara,2019-07-23,2019-07-24
1.917795009592158e-06,Matara,2019-07-24,2019-07-25
1.6406873869175554e-05,Matara,2019-07-27,2019-07-28
0.0001339288013077,Matara,2019-07-29,2019-07-30
3.6934841833654336e-05,Matara,2019-07-31,2019-08-01
6.79387627216613e-05,Matara,2019-08-01,2019-08-02
0.0001027113576807,Matara,2019-08-03,2019-08-04
7.763261304247379e-05,Matara,2019-08-04,2019-08-05
5.245533362906521e-05,Matara,2019-08-05,2019-08-06
4.8707759228402166e-05,Matara,2019-08-18,2019-08-19
1.187302498785714e-05,Matara,2019-08-19,2019-08-20
0.0002373940806137,Matara,2019-08-20,2019-08-21
6.798230223314625e-05,Matara,2019-08-29,2019-08-30
0.0001003325498068,Matara,2019-08-30,2019-08-31
6.411903520786512e-05,Matara,2019-09-02,2019-09-03
9.78157384524139e-05,Matara,2019-09-03,2019-09-04
9.791662909121674e-05,Matara,2019-09-04,2019-09-05
7.900931868731356e-05,Matara,2019-09-07,2019-09-08
4.326489287765812e-05,Matara,2019-09-09,2019-09-10
4.263753551153884e-05,Matara,2019-09-10,2019-09-11
8.720108094777346e-05,Matara,2019-09-12,2019-09-13
7.855770871679348e-05,Matara,2019-09-13,2019-09-14
2.78876797254711e-05,Matara,2019-09-21,2019-09-22
8.320224946993188e-05,Matara,2019-09-29,2019-09-30
1.9647603158705263e-05,Matara,2019-09-30,2019-10-01
0.000117836499168,Matara,2019-10-01,2019-10-02
4.612769316736376e-06,Matara,2019-10-06,2019-10-07
7.59858494096762e-05,Matara,2019-10-13,2019-10-14
1.83682831601389e-05,Matara,2019-10-14,2019-10-15
0.0002317053602408,Matara,2019-10-17,2019-10-18
0.0002290918466488,Matara,2019-10-31,2019-11-01
0.0002161975617461,Matara,2019-11-06,2019-11-07
0.0001877186378125,Matara,2019-11-07,2019-11-08
7.553392172272982e-05,Matara,2019-11-08,2019-11-09
0.0002234721468994,Matara,2019-11-11,2019-11-12
0.0001128827506019,Matara,2019-11-13,2019-11-14
5.815962265760409e-05,Matara,2019-11-14,2019-11-15
6.111619864362443e-05,Matara,2019-11-16,2019-11-17
0.0001113500110585,Matara,2019-11-17,2019-11-18
8.669282646079637e-05,Matara,2019-11-18,2019-11-19
6.167588874374884e-05,Matara,2019-11-20,2019-11-21
8.329670267707673e-05,Matara,2019-11-21,2019-11-22
0.000158744442784,Matara,2019-11-22,2019-11-23
8.082623468883076e-05,Matara,2019-11-27,2019-11-28
0.0001039900997813,Matara,2019-11-29,2019-11-30
0.0001545732520753,Matara,2019-12-01,2019-12-02
0.0002290982823012,Matara,2019-12-02,2019-12-03
6.279132131055396e-05,Matara,2019-12-06,2019-12-07
3.668150748126209e-05,Matara,2019-12-10,2019-12-11
4.62315488663879e-06,Matara,2019-12-13,2019-12-14
0.0001486373962426,Matara,2019-12-14,2019-12-15
0.0001227165762943,Matara,2019-12-15,2019-12-16
0.0001229212800705,Matara,2019-12-16,2019-12-17
0.0001877353206509,Matara,2019-12-18,2019-12-19
5.3307634495522295e-05,Matara,2019-12-19,2019-12-20
3.737863824244148e-05,Matara,2019-12-21,2019-12-22
8.239901598712222e-05,Matara,2019-12-23,2019-12-24
0.0001175895423397,Matara,2019-12-24,2019-12-25
6.322827935514696e-05,Matara,2019-12-25,2019-12-26
0.0002801681133864,Matara,2019-12-26,2019-12-27
2.5080770957698957e-05,Matara,2019-12-27,2019-12-28
0.0001125148774131,Matara,2019-12-29,2019-12-30
5.958212666452036e-05,Matara,2019-12-30,2019-12-31
3.443339602476807e-05,Matara,2019-12-31,2020-01-01
5.582477187917614e-05,Matara,2020-01-01,2020-01-02
4.323339089751243e-05,Matara,2020-01-02,2020-01-03
0.0001348303220805,Matara,2020-01-03,2020-01-04
7.345198097368317e-05,Matara,2020-01-04,2020-01-05
2.321362493548122e-05,Matara,2020-01-05,2020-01-06
5.4160664857132805e-05,Matara,2020-01-06,2020-01-07
8.050683431295243e-05,Matara,2020-01-07,2020-01-08
4.716895767844027e-05,Matara,2020-01-08,2020-01-09
0.0001577781896422,Matara,2020-01-09,2020-01-10
0.0001793478869622,Matara,2020-01-10,2020-01-11
9.41050512969195e-05,Matara,2020-01-11,2020-01-12
0.0001152762997662,Matara,2020-01-13,2020-01-14
3.0344823697539575e-05,Matara,2020-01-15,2020-01-16
7.061637462092352e-06,Matara,2020-01-16,2020-01-17
0.0002380160347689,Matara,2020-01-19,2020-01-20
8.649788570140081e-05,Matara,2020-01-20,2020-01-21
5.912812620378361e-05,Matara,2020-01-21,2020-01-22
0.0001127059149439,Matara,2020-01-22,2020-01-23
4.176835190634863e-05,Matara,2020-01-23,2020-01-24
0.0001065585373179,Matara,2020-01-24,2020-01-25
0.0001661374720926,Matara,2020-01-25,2020-01-26
7.276855495625505e-05,Matara,2020-01-26,2020-01-27
6.942144958326742e-05,Matara,2020-01-28,2020-01-29
0.0001887968234636,Matara,2020-01-29,2020-01-30
7.285972572016812e-05,Matara,2020-01-30,2020-01-31
0.0002529024599017,Matara,2020-01-31,2020-02-01
0.0001415127839008,Matara,2020-02-01,2020-02-02
7.155292117745567e-05,Matara,2020-02-02,2020-02-03
3.0342748686962295e-06,Matara,2020-02-03,2020-02-04
0.0002128889628819,Matara,2020-02-06,2020-02-07
9.207190091336028e-05,Matara,2020-02-07,2020-02-08
0.0001354965851584,Matara,2020-02-09,2020-02-10
0.0001617020217739,Matara,2020-02-10,2020-02-11
0.0001742292469876,Matara,2020-02-11,2020-02-12
0.0002540055798295,Matara,2020-02-12,2020-02-13
3.371115622175777e-05,Matara,2020-02-13,2020-02-14
0.0001794127728646,Matara,2020-02-16,2020-02-17
0.0002209353604297,Matara,2020-02-17,2020-02-18
6.674241804341922e-05,Matara,2020-02-18,2020-02-19
0.0001222466447894,Matara,2020-02-19,2020-02-20
8.883904957213684e-05,Matara,2020-02-20,2020-02-21
0.0001415435780818,Matara,2020-02-23,2020-02-24
6.469066327585497e-05,Matara,2020-02-24,2020-02-25
2.3133790736772745e-05,Matara,2020-02-25,2020-02-26
6.435616459262533e-05,Matara,2020-02-26,2020-02-27
0.0001474108560456,Matara,2020-02-27,2020-02-28
7.261802893327325e-05,Matara,2020-02-28,2020-02-29
0.0002432750616004,Matara,2020-03-02,2020-03-03
0.0001371470386965,Matara,2020-03-03,2020-03-04
0.0003196327910867,Matara,2020-03-04,2020-03-05
9.590982845119733e-05,Matara,2020-03-07,2020-03-08
8.151255612816e-05,Matara,2020-03-08,2020-03-09
0.0002133951068221,Matara,2020-03-09,2020-03-10
8.807318490189663e-05,Matara,2020-03-10,2020-03-11
0.0001212261634002,Matara,2020-03-11,2020-03-12
0.0001866045606144,Matara,2020-03-12,2020-03-13
0.0002164612674754,Matara,2020-03-13,2020-03-14
0.0001451271620085,Matara,2020-03-14,2020-03-15
7.107494193457907e-05,Matara,2020-03-15,2020-03-16
1.4219102992139211e-05,Matara,2020-03-16,2020-03-17
0.0002336150704328,Matara,2020-03-18,2020-03-19
6.550971145592522e-05,Matara,2020-03-19,2020-03-20
4.255753104668866e-05,Matara,2020-03-20,2020-03-21
0.0001205499327439,Matara,2020-03-21,2020-03-22
0.0001706812737525,Matara,2020-03-22,2020-03-23
0.0001902743112101,Matara,2020-03-23,2020-03-24
0.0001626924924219,Matara,2020-03-24,2020-03-25
0.0001398410212964,Matara,2020-03-25,2020-03-26
0.0002149587402132,Matara,2020-03-26,2020-03-27
0.0001548500985252,Matara,2020-03-27,2020-03-28
0.0001659523665068,Matara,2020-03-28,2020-03-29
0.0001050452628987,Matara,2020-03-29,2020-03-30
0.0002204980965198,Matara,2020-03-30,2020-03-31
0.0001623857386471,Matara,2020-03-31,2020-04-01
0.0001385958375868,Matara,2020-04-01,2020-04-02
0.0001188315780021,Matara,2020-04-02,2020-04-03
0.0001931528322209,Matara,2020-04-03,2020-04-04
0.0002263844998637,Matara,2020-04-05,2020-04-06
0.0001089687322607,Matara,2020-04-07,2020-04-08
0.0001147216354394,Matara,2020-04-08,2020-04-09
0.0001323069220559,Matara,2020-04-09,2020-04-10
9.85519800843023e-05,Matara,2020-04-10,2020-04-11
6.881059950028768e-05,Matara,2020-04-11,2020-04-12
3.27301412484459e-05,Matara,2020-04-12,2020-04-13
3.621056330483745e-05,Matara,2020-04-13,2020-04-14
0.0001241814675436,Matara,2020-04-14,2020-04-15
6.521946258410748e-05,Matara,2020-04-15,2020-04-16
2.395888714090688e-06,Matara,2020-04-16,2020-04-17
6.948048640131524e-05,Matara,2020-04-18,2020-04-19
6.384248190519383e-05,Matara,2020-04-19,2020-04-20
0.000138173020811,Matara,2020-04-20,2020-04-21
0.0001303255564684,Matara,2020-04-21,2020-04-22
3.486263002774481e-06,Matara,2020-04-23,2020-04-24
8.073384512511853e-05,Matara,2020-04-26,2020-04-27
0.0001121884341241,Matara,2020-04-27,2020-04-28
0.0002022100508204,Matara,2020-04-28,2020-04-29
9.111307020899032e-05,Matara,2020-04-29,2020-04-30
0.0001920155304563,Matara,2020-04-30,2020-05-01
0.0001749976495949,Matara,2020-05-01,2020-05-02
5.825853853115324e-05,Matara,2020-05-04,2020-05-05
0.0001066485002667,Matara,2020-05-08,2020-05-09
8.813543154319978e-05,Matara,2020-05-12,2020-05-13
0.000130520584253,Matara,2020-05-13,2020-05-14
0.000125077001634,Matara,2020-05-15,2020-05-16
0.0001085663751123,Matara,2020-05-18,2020-05-19
8.066085494189349e-05,Matara,2020-05-20,2020-05-21
0.0001064809700281,Matara,2020-05-21,2020-05-22
4.538882770357599e-05,Matara,2020-05-23,2020-05-24
5.450283041426242e-05,Matara,2020-05-24,2020-05-25
0.0001745190751963,Matara,2020-05-26,2020-05-27
9.748732206240254e-05,Matara,2020-05-30,2020-05-31
9.112752099849167e-05,Matara,2020-05-31,2020-06-01
8.765331116827676e-05,Matara,2020-06-01,2020-06-02
0.0001365986811061,Matara,2020-06-02,2020-06-03
4.755925841214103e-05,Matara,2020-06-03,2020-06-04
0.0001642768098681,Matara,2020-06-04,2020-06-05
2.940111799718637e-05,Matara,2020-06-05,2020-06-06
2.50764877911081e-05,Matara,2020-06-09,2020-06-10
4.234014420232019e-05,Matara,2020-06-11,2020-06-12
2.1925116564174516e-05,Matara,2020-06-13,2020-06-14
9.755461637929395e-05,Matara,2020-06-14,2020-06-15
5.990239896855989e-05,Matara,2020-06-15,2020-06-16
0.0001552861313468,Matara,2020-06-18,2020-06-19
0.0001352933324333,Matara,2020-06-20,2020-06-21
4.162291499108151e-05,Matara,2020-06-22,2020-06-23
0.0002094515544984,Matara,2020-06-23,2020-06-24
5.990897422030939e-05,Matara,2020-06-24,2020-06-25
0.0002051720192701,Matara,2020-06-26,2020-06-27
0.0001124744363319,Matara,2020-06-27,2020-06-28
5.667417479348952e-05,Matara,2020-06-29,2020-06-30
4.5889721509336015e-05,Matara,2020-07-01,2020-07-02
8.012221601086614e-05,Matara,2020-07-02,2020-07-03
8.639349798422517e-05,Matara,2020-07-04,2020-07-05
0.0001225770297818,Matara,2020-07-05,2020-07-06
7.719590280196281e-05,Matara,2020-07-07,2020-07-08
0.0001133111030949,Matara,2020-07-10,2020-07-11
4.19976992453612e-05,Matara,2020-07-12,2020-07-13
0.0001579608688965,Matara,2020-07-13,2020-07-14
0.0001246352851251,Matara,2020-07-14,2020-07-15
0.000163621393785,Matara,2020-07-15,2020-07-16
4.0699195288202375e-05,Matara,2020-07-19,2020-07-20
0.0001364200889515,Matara,2020-07-24,2020-07-25
2.1475540234825472e-05,Matara,2020-07-29,2020-07-30
5.1048635909636394e-05,Matara,2020-07-30,2020-07-31
2.924437244494896e-05,Matara,2020-08-08,2020-08-09
4.1295637467464296e-05,Matara,2020-08-12,2020-08-13
3.090356865327022e-05,Matara,2020-08-13,2020-08-14
3.336985659278598e-05,Matara,2020-08-14,2020-08-15
2.0616734382838223e-05,Matara,2020-08-15,2020-08-16
2.794780563557463e-05,Matara,2020-08-16,2020-08-17
6.377265381584466e-05,Matara,2020-08-17,2020-08-18
9.864819027521158e-05,Matara,2020-08-18,2020-08-19
4.9262040098221225e-06,Matara,2020-08-19,2020-08-20
2.8190357682196595e-05,Matara,2020-08-20,2020-08-21
0.0001861171290337,Matara,2020-08-21,2020-08-22
7.621310608758228e-05,Matara,2020-08-22,2020-08-23
6.437629697331358e-05,Matara,2020-08-23,2020-08-24
1.8112833447135636e-05,Matara,2020-08-24,2020-08-25
0.0001197921551961,Matara,2020-08-25,2020-08-26
0.00010436146086,Matara,2020-08-26,2020-08-27
0.0001438969521762,Matara,2020-08-27,2020-08-28
9.722794985268776e-06,Matara,2020-08-29,2020-08-30
6.355691278891022e-05,Matara,2020-08-30,2020-08-31
8.661133966412367e-05,Matara,2020-08-31,2020-09-01
7.4993453434322835e-06,Matara,2020-09-04,2020-09-05
2.6322920997321783e-05,Matara,2020-09-08,2020-09-09
0.0002224830849442,Matara,2020-09-17,2020-09-18
4.583581010911004e-05,Matara,2020-09-23,2020-09-24
7.91982205255503e-05,Matara,2020-09-26,2020-09-27
0.0001730573872732,Matara,2020-09-27,2020-09-28
0.0002153846821328,Matara,2020-09-28,2020-09-29
7.805495156078104e-05,Matara,2020-10-01,2020-10-02
5.11396381577283e-05,Matara,2020-10-02,2020-10-03
0.0001470353174131,Matara,2020-10-03,2020-10-04
