HCHO_Amount,Location,Present_Date,Next_Date
1.919914652467399e-05,Monaragala,2019-01-02,2019-01-03
2.8114479359302837e-05,Monaragala,2019-01-03,2019-01-04
3.747998184385943e-05,Monaragala,2019-01-04,2019-01-05
0.0001457836896179,Monaragala,2019-01-06,2019-01-07
2.8285908025465342e-05,Monaragala,2019-01-07,2019-01-08
0.000142085016705,Monaragala,2019-01-09,2019-01-10
2.014587947072581e-05,Monaragala,2019-01-11,2019-01-12
0.000158278766321,Monaragala,2019-01-12,2019-01-13
9.952823849642218e-05,Monaragala,2019-01-15,2019-01-16
7.484570960514249e-05,Monaragala,2019-01-16,2019-01-17
7.736112226328797e-05,Monaragala,2019-01-17,2019-01-18
3.9881410104076654e-05,Monaragala,2019-01-19,2019-01-20
0.0001891620203853,Monaragala,2019-01-20,2019-01-21
0.0001159969926423,Monaragala,2019-01-21,2019-01-22
0.0001413523623709,Monaragala,2019-01-22,2019-01-23
7.165379525100222e-05,Monaragala,2019-01-23,2019-01-24
0.000180567368996,Monaragala,2019-01-27,2019-01-28
9.113160086427456e-05,Monaragala,2019-01-28,2019-01-29
7.241739856355372e-05,Monaragala,2019-01-29,2019-01-30
4.098144742473462e-05,Monaragala,2019-01-31,2019-02-01
5.186428352058307e-05,Monaragala,2019-02-01,2019-02-02
1.051353380619686e-05,Monaragala,2019-02-06,2019-02-07
4.076109671524861e-05,Monaragala,2019-02-07,2019-02-08
7.59353421234044e-05,Monaragala,2019-02-08,2019-02-09
7.34858268449358e-05,Monaragala,2019-02-10,2019-02-11
1.0584419214865193e-05,Monaragala,2019-02-11,2019-02-12
6.919795120446755e-05,Monaragala,2019-02-12,2019-02-13
0.0001623480638954,Monaragala,2019-02-15,2019-02-16
2.6644206895973665e-05,Monaragala,2019-02-16,2019-02-17
0.0001362413198283,Monaragala,2019-02-17,2019-02-18
5.895095797941796e-05,Monaragala,2019-02-18,2019-02-19
7.990708924877695e-05,Monaragala,2019-02-19,2019-02-20
8.647263683420719e-05,Monaragala,2019-02-20,2019-02-21
6.580490440211678e-05,Monaragala,2019-02-21,2019-02-22
0.0001173317679715,Monaragala,2019-02-22,2019-02-23
0.0001372664223727,Monaragala,2019-02-23,2019-02-24
0.0001183587731956,Monaragala,2019-02-24,2019-02-25
0.0002015221799451,Monaragala,2019-03-02,2019-03-03
0.0002333378601804,Monaragala,2019-03-03,2019-03-04
0.0001130560234093,Monaragala,2019-03-04,2019-03-05
8.923271256196186e-05,Monaragala,2019-03-05,2019-03-06
4.2696494065404425e-05,Monaragala,2019-03-06,2019-03-07
0.0001021544478428,Monaragala,2019-03-07,2019-03-08
0.000104415711202,Monaragala,2019-03-08,2019-03-09
0.0001057629100291,Monaragala,2019-03-10,2019-03-11
0.0001954688702953,Monaragala,2019-03-11,2019-03-12
0.0002339561330231,Monaragala,2019-03-12,2019-03-13
5.33002191604215e-05,Monaragala,2019-03-14,2019-03-15
0.000123402480465,Monaragala,2019-03-15,2019-03-16
9.934245878113424e-05,Monaragala,2019-03-16,2019-03-17
1.3218968888395464e-05,Monaragala,2019-03-18,2019-03-19
0.0001449778092531,Monaragala,2019-03-19,2019-03-20
7.633388390013924e-05,Monaragala,2019-03-20,2019-03-21
0.0001480680220993,Monaragala,2019-03-21,2019-03-22
4.698590924918041e-05,Monaragala,2019-03-22,2019-03-23
0.0001512098013132,Monaragala,2019-03-24,2019-03-25
7.338239494073005e-05,Monaragala,2019-03-25,2019-03-26
8.133633841564141e-05,Monaragala,2019-03-26,2019-03-27
9.850572535486576e-05,Monaragala,2019-03-27,2019-03-28
0.0001319502848265,Monaragala,2019-03-28,2019-03-29
0.000286010842239,Monaragala,2019-03-30,2019-03-31
0.0001691464753809,Monaragala,2019-03-31,2019-04-01
0.0002311358269746,Monaragala,2019-04-01,2019-04-02
0.0001839505016603,Monaragala,2019-04-02,2019-04-03
0.0002120842642893,Monaragala,2019-04-03,2019-04-04
2.6559009192573393e-05,Monaragala,2019-04-04,2019-04-05
8.134434422682388e-05,Monaragala,2019-04-05,2019-04-06
0.0001323410016791,Monaragala,2019-04-06,2019-04-07
0.0001584331711474,Monaragala,2019-04-07,2019-04-08
0.0002055366407123,Monaragala,2019-04-08,2019-04-09
0.0002659180015952,Monaragala,2019-04-09,2019-04-10
0.0001209464124475,Monaragala,2019-04-10,2019-04-11
6.731434962449994e-05,Monaragala,2019-04-12,2019-04-13
0.000172293422113,Monaragala,2019-04-13,2019-04-14
3.0456606050663313e-05,Monaragala,2019-04-19,2019-04-20
3.9441730173904633e-05,Monaragala,2019-04-20,2019-04-21
0.0001087346840901,Monaragala,2019-04-23,2019-04-24
0.0001426274278835,Monaragala,2019-04-24,2019-04-25
0.0002504993387901,Monaragala,2019-04-28,2019-04-29
0.0001447003060889,Monaragala,2019-05-01,2019-05-02
0.000243087771434,Monaragala,2019-05-03,2019-05-04
0.000166357540416,Monaragala,2019-05-04,2019-05-05
0.0001117983754452,Monaragala,2019-05-05,2019-05-06
0.0002294637627646,Monaragala,2019-05-06,2019-05-07
0.0003124401430261,Monaragala,2019-05-07,2019-05-08
0.0002250056587289,Monaragala,2019-05-08,2019-05-09
0.0002085735307819,Monaragala,2019-05-09,2019-05-10
0.000257059338242,Monaragala,2019-05-10,2019-05-11
0.0002004889109836,Monaragala,2019-05-11,2019-05-12
0.0001098424870683,Monaragala,2019-05-12,2019-05-13
0.0002129034585429,Monaragala,2019-05-13,2019-05-14
0.0001720079728961,Monaragala,2019-05-14,2019-05-15
0.0002664730031546,Monaragala,2019-05-15,2019-05-16
0.000201612771683,Monaragala,2019-05-16,2019-05-17
0.0002884037766731,Monaragala,2019-05-17,2019-05-18
0.0001177087880293,Monaragala,2019-05-18,2019-05-19
0.0001160009060384,Monaragala,2019-05-19,2019-05-20
0.0001336881023634,Monaragala,2019-05-20,2019-05-21
0.0002208001227715,Monaragala,2019-05-21,2019-05-22
0.0003105529374545,Monaragala,2019-05-23,2019-05-24
0.0001747951545193,Monaragala,2019-05-25,2019-05-26
0.0001548687249192,Monaragala,2019-05-26,2019-05-27
0.0001654224296495,Monaragala,2019-05-27,2019-05-28
0.0001982629083403,Monaragala,2019-05-28,2019-05-29
0.0003091327174433,Monaragala,2019-05-29,2019-05-30
0.0002074993984133,Monaragala,2019-05-30,2019-05-31
0.0002010744889855,Monaragala,2019-05-31,2019-06-01
0.0001620855774003,Monaragala,2019-06-01,2019-06-02
0.0002011201633782,Monaragala,2019-06-02,2019-06-03
0.000251481226227,Monaragala,2019-06-03,2019-06-04
0.0001980974619026,Monaragala,2019-06-04,2019-06-05
0.0002146064898484,Monaragala,2019-06-05,2019-06-06
0.0001936430479641,Monaragala,2019-06-06,2019-06-07
0.0002007570846963,Monaragala,2019-06-07,2019-06-08
0.0002396215399985,Monaragala,2019-06-08,2019-06-09
