HCHO_Amount,Location,Present_Date,Next_Date
0.0001908293886956,Nuwara Eliya,2019-01-03,2019-01-04
5.0976259171277377e-05,Nuwara Eliya,2019-01-04,2019-01-05
6.456645496655256e-05,Nuwara Eliya,2019-01-05,2019-01-06
8.982348709518115e-05,Nuwara Eliya,2019-01-06,2019-01-07
4.097797651418246e-05,Nuwara Eliya,2019-01-07,2019-01-08
3.914670787137749e-05,Nuwara Eliya,2019-01-11,2019-01-12
4.211950727039948e-05,Nuwara Eliya,2019-01-14,2019-01-15
4.27055256923008e-05,Nuwara Eliya,2019-01-15,2019-01-16
0.0001077155480912,Nuwara Eliya,2019-01-17,2019-01-18
2.1021983917616697e-05,Nuwara Eliya,2019-01-18,2019-01-19
3.5177822608346057e-05,Nuwara Eliya,2019-01-19,2019-01-20
8.95718212363389e-06,Nuwara Eliya,2019-01-20,2019-01-21
0.0001169623557084,Nuwara Eliya,2019-01-21,2019-01-22
0.0001423180803672,Nuwara Eliya,2019-01-22,2019-01-23
5.387086215710865e-05,Nuwara Eliya,2019-01-23,2019-01-24
5.8914353326833725e-05,Nuwara Eliya,2019-01-24,2019-01-25
0.0001509017772374,Nuwara Eliya,2019-01-28,2019-01-29
0.0001841569476548,Nuwara Eliya,2019-01-29,2019-01-30
3.054402387193301e-05,Nuwara Eliya,2019-01-30,2019-01-31
3.6008610393953005e-05,Nuwara Eliya,2019-01-31,2019-02-01
7.778077086008773e-05,Nuwara Eliya,2019-02-01,2019-02-02
8.962996522611401e-05,Nuwara Eliya,2019-02-07,2019-02-08
6.902842232093944e-05,Nuwara Eliya,2019-02-08,2019-02-09
5.539429507152505e-05,Nuwara Eliya,2019-02-10,2019-02-11
7.972334424266592e-05,Nuwara Eliya,2019-02-13,2019-02-14
0.0001733092446862,Nuwara Eliya,2019-02-18,2019-02-19
0.0002395688257623,Nuwara Eliya,2019-02-19,2019-02-20
0.0001075724904002,Nuwara Eliya,2019-02-20,2019-02-21
0.0001895221819805,Nuwara Eliya,2019-02-23,2019-02-24
0.0002737589225376,Nuwara Eliya,2019-02-24,2019-02-25
0.0001235405797752,Nuwara Eliya,2019-03-02,2019-03-03
0.0001477264081287,Nuwara Eliya,2019-03-05,2019-03-06
6.384192250393643e-05,Nuwara Eliya,2019-03-06,2019-03-07
0.0001673222246266,Nuwara Eliya,2019-03-07,2019-03-08
8.084443465562647e-05,Nuwara Eliya,2019-03-08,2019-03-09
6.543632959168698e-05,Nuwara Eliya,2019-03-10,2019-03-11
6.152930957380892e-05,Nuwara Eliya,2019-03-11,2019-03-12
0.0002626515739848,Nuwara Eliya,2019-03-12,2019-03-13
9.745691103711994e-05,Nuwara Eliya,2019-03-14,2019-03-15
0.0001547611296419,Nuwara Eliya,2019-03-15,2019-03-16
0.0001265224542416,Nuwara Eliya,2019-03-16,2019-03-17
3.81896059352209e-05,Nuwara Eliya,2019-03-19,2019-03-20
6.845485111101992e-05,Nuwara Eliya,2019-03-22,2019-03-23
0.0001184572953092,Nuwara Eliya,2019-03-23,2019-03-24
0.0002337061979083,Nuwara Eliya,2019-03-24,2019-03-25
5.820339193343703e-05,Nuwara Eliya,2019-03-25,2019-03-26
8.722993536189284e-05,Nuwara Eliya,2019-03-26,2019-03-27
9.746027246583777e-05,Nuwara Eliya,2019-03-27,2019-03-28
0.0001692817181159,Nuwara Eliya,2019-03-28,2019-03-29
0.0001940701991971,Nuwara Eliya,2019-03-29,2019-03-30
0.000199954111486,Nuwara Eliya,2019-03-30,2019-03-31
0.0001030857769564,Nuwara Eliya,2019-03-31,2019-04-01
0.0001345494559591,Nuwara Eliya,2019-04-01,2019-04-02
0.000144982511753,Nuwara Eliya,2019-04-02,2019-04-03
0.0001425276102801,Nuwara Eliya,2019-04-03,2019-04-04
0.0001196842667319,Nuwara Eliya,2019-04-04,2019-04-05
0.0001029167153844,Nuwara Eliya,2019-04-06,2019-04-07
6.757815417269227e-05,Nuwara Eliya,2019-04-08,2019-04-09
0.0001408357462238,Nuwara Eliya,2019-04-12,2019-04-13
0.0001905907485365,Nuwara Eliya,2019-04-13,2019-04-14
0.0001024999823835,Nuwara Eliya,2019-04-22,2019-04-23
0.0001742585006953,Nuwara Eliya,2019-04-23,2019-04-24
0.0002955116204609,Nuwara Eliya,2019-04-24,2019-04-25
7.111501928962651e-05,Nuwara Eliya,2019-04-26,2019-04-27
0.0001093271878134,Nuwara Eliya,2019-04-28,2019-04-29
0.0001203378887073,Nuwara Eliya,2019-05-01,2019-05-02
0.0001336923031109,Nuwara Eliya,2019-05-02,2019-05-03
7.002533500214887e-05,Nuwara Eliya,2019-05-04,2019-05-05
4.388346007494007e-05,Nuwara Eliya,2019-05-05,2019-05-06
0.0001055412390811,Nuwara Eliya,2019-05-06,2019-05-07
0.0001036462577021,Nuwara Eliya,2019-05-07,2019-05-08
5.81859056799875e-05,Nuwara Eliya,2019-05-08,2019-05-09
0.0002151863254373,Nuwara Eliya,2019-05-09,2019-05-10
0.0001520700378357,Nuwara Eliya,2019-05-10,2019-05-11
8.896596670445717e-05,Nuwara Eliya,2019-05-11,2019-05-12
0.0002790974952239,Nuwara Eliya,2019-05-14,2019-05-15
0.0002221362230624,Nuwara Eliya,2019-05-15,2019-05-16
0.0001343666372122,Nuwara Eliya,2019-05-16,2019-05-17
0.0002702439378481,Nuwara Eliya,2019-05-19,2019-05-20
8.031848961353504e-05,Nuwara Eliya,2019-05-20,2019-05-21
0.0001222873862844,Nuwara Eliya,2019-05-21,2019-05-22
3.6341561558326346e-05,Nuwara Eliya,2019-05-26,2019-05-27
0.0001195644109596,Nuwara Eliya,2019-05-27,2019-05-28
9.84078342114136e-05,Nuwara Eliya,2019-05-28,2019-05-29
0.0001370126083911,Nuwara Eliya,2019-05-29,2019-05-30
5.092769901518664e-05,Nuwara Eliya,2019-05-30,2019-05-31
0.0003009155267739,Nuwara Eliya,2019-05-31,2019-06-01
5.587982157832464e-05,Nuwara Eliya,2019-06-01,2019-06-02
3.772535689224513e-05,Nuwara Eliya,2019-06-02,2019-06-03
0.0001042950827648,Nuwara Eliya,2019-06-09,2019-06-10
8.858704770824554e-05,Nuwara Eliya,2019-06-11,2019-06-12
0.0001989688025787,Nuwara Eliya,2019-06-13,2019-06-14
6.074488532642667e-05,Nuwara Eliya,2019-06-15,2019-06-16
0.000101215088715,Nuwara Eliya,2019-06-16,2019-06-17
8.275653874941797e-05,Nuwara Eliya,2019-06-17,2019-06-18
8.291602308825832e-06,Nuwara Eliya,2019-06-18,2019-06-19
4.317640515599125e-05,Nuwara Eliya,2019-06-19,2019-06-20
9.229919803482012e-05,Nuwara Eliya,2019-06-20,2019-06-21
0.0001479365913374,Nuwara Eliya,2019-06-22,2019-06-23
6.17899931725921e-05,Nuwara Eliya,2019-06-23,2019-06-24
0.0001348028330007,Nuwara Eliya,2019-06-26,2019-06-27
8.074711312637191e-05,Nuwara Eliya,2019-06-27,2019-06-28
0.0001259997361788,Nuwara Eliya,2019-06-28,2019-06-29
0.0001105386966815,Nuwara Eliya,2019-06-29,2019-06-30
0.0001086163531717,Nuwara Eliya,2019-06-30,2019-07-01
5.762188204561666e-05,Nuwara Eliya,2019-07-01,2019-07-02
0.0001623492259486,Nuwara Eliya,2019-07-02,2019-07-03
0.0001738523006491,Nuwara Eliya,2019-07-03,2019-07-04
0.0001177761070948,Nuwara Eliya,2019-07-05,2019-07-06
0.0001369265480897,Nuwara Eliya,2019-07-06,2019-07-07
0.0001863186505513,Nuwara Eliya,2019-07-07,2019-07-08
0.00024779655935,Nuwara Eliya,2019-07-08,2019-07-09
0.0001292302443306,Nuwara Eliya,2019-07-11,2019-07-12
0.0001169642800239,Nuwara Eliya,2019-07-12,2019-07-13
5.911798409791456e-05,Nuwara Eliya,2019-07-16,2019-07-17
3.329885377230573e-05,Nuwara Eliya,2019-07-17,2019-07-18
9.433908685854995e-05,Nuwara Eliya,2019-07-23,2019-07-24
0.0001659327228923,Nuwara Eliya,2019-07-24,2019-07-25
0.0001184712242621,Nuwara Eliya,2019-07-26,2019-07-27
0.0001114548395224,Nuwara Eliya,2019-07-27,2019-07-28
4.187517193366405e-05,Nuwara Eliya,2019-07-28,2019-07-29
0.0001617242205137,Nuwara Eliya,2019-07-29,2019-07-30
0.0001080114271866,Nuwara Eliya,2019-07-30,2019-07-31
7.751671709410368e-05,Nuwara Eliya,2019-07-31,2019-08-01
0.0001329736920653,Nuwara Eliya,2019-08-01,2019-08-02
5.651169903300146e-05,Nuwara Eliya,2019-08-03,2019-08-04
3.799505288802035e-05,Nuwara Eliya,2019-08-18,2019-08-19
2.82110260500617e-05,Nuwara Eliya,2019-08-30,2019-08-31
9.445839367563298e-05,Nuwara Eliya,2019-08-31,2019-09-01
8.64964669904217e-05,Nuwara Eliya,2019-09-02,2019-09-03
3.3414233799745706e-05,Nuwara Eliya,2019-09-03,2019-09-04
0.000116729877908,Nuwara Eliya,2019-09-04,2019-09-05
4.987681369842603e-05,Nuwara Eliya,2019-09-07,2019-09-08
0.0002593871115593,Nuwara Eliya,2019-09-08,2019-09-09
8.982164139944275e-05,Nuwara Eliya,2019-09-09,2019-09-10
3.6572593671735376e-05,Nuwara Eliya,2019-09-18,2019-09-19
4.00684436684202e-05,Nuwara Eliya,2019-09-21,2019-09-22
0.0001037214939681,Nuwara Eliya,2019-10-01,2019-10-02
2.680059781088767e-05,Nuwara Eliya,2019-10-14,2019-10-15
8.089742914307863e-05,Nuwara Eliya,2019-10-16,2019-10-17
0.0002144734025932,Nuwara Eliya,2019-10-23,2019-10-24
0.0001060299718198,Nuwara Eliya,2019-11-01,2019-11-02
0.0001197492585854,Nuwara Eliya,2019-11-06,2019-11-07
0.0002019448987158,Nuwara Eliya,2019-11-07,2019-11-08
0.0001875744093177,Nuwara Eliya,2019-11-08,2019-11-09
0.0001796965460638,Nuwara Eliya,2019-11-12,2019-11-13
4.990433807850961e-05,Nuwara Eliya,2019-11-13,2019-11-14
1.0639170243363802e-05,Nuwara Eliya,2019-11-14,2019-11-15
0.0001715080615397,Nuwara Eliya,2019-11-18,2019-11-19
6.0601217333582715e-05,Nuwara Eliya,2019-12-06,2019-12-07
5.144756876329371e-05,Nuwara Eliya,2019-12-12,2019-12-13
1.5113010024269242e-05,Nuwara Eliya,2019-12-14,2019-12-15
0.0002059300168184,Nuwara Eliya,2019-12-16,2019-12-17
2.4497794584021904e-05,Nuwara Eliya,2019-12-23,2019-12-24
5.2385187031481246e-06,Nuwara Eliya,2019-12-24,2019-12-25
8.490988554769745e-05,Nuwara Eliya,2019-12-26,2019-12-27
5.037097735972281e-05,Nuwara Eliya,2019-12-28,2019-12-29
0.0001936077267456,Nuwara Eliya,2019-12-29,2019-12-30
2.837138933940408e-05,Nuwara Eliya,2019-12-30,2019-12-31
1.8020774742708853e-05,Nuwara Eliya,2019-12-31,2020-01-01
7.971946523881809e-05,Nuwara Eliya,2020-01-03,2020-01-04
0.0002221059548901,Nuwara Eliya,2020-01-04,2020-01-05
0.0001159583617149,Nuwara Eliya,2020-01-05,2020-01-06
6.421119687120402e-05,Nuwara Eliya,2020-01-06,2020-01-07
0.0001254094677278,Nuwara Eliya,2020-01-08,2020-01-09
9.527971988931567e-05,Nuwara Eliya,2020-01-09,2020-01-10
5.4243914301464626e-05,Nuwara Eliya,2020-01-10,2020-01-11
4.828142649293358e-05,Nuwara Eliya,2020-01-11,2020-01-12
3.1963263609213755e-06,Nuwara Eliya,2020-01-12,2020-01-13
0.0001008577189011,Nuwara Eliya,2020-01-14,2020-01-15
0.0002333852549772,Nuwara Eliya,2020-01-20,2020-01-21
5.044574209023267e-06,Nuwara Eliya,2020-01-21,2020-01-22
0.0002514555784161,Nuwara Eliya,2020-01-26,2020-01-27
1.5972322239645614e-05,Nuwara Eliya,2020-01-27,2020-01-28
2.4162307975538745e-05,Nuwara Eliya,2020-01-28,2020-01-29
8.765511960787914e-05,Nuwara Eliya,2020-01-29,2020-01-30
0.0001547180170078,Nuwara Eliya,2020-01-30,2020-01-31
0.0001338702093236,Nuwara Eliya,2020-01-31,2020-02-01
2.5702771381475028e-05,Nuwara Eliya,2020-02-02,2020-02-03
7.986340575507248e-05,Nuwara Eliya,2020-02-04,2020-02-05
0.0001382175604029,Nuwara Eliya,2020-02-06,2020-02-07
0.0001317641534045,Nuwara Eliya,2020-02-07,2020-02-08
6.650182181808007e-05,Nuwara Eliya,2020-02-08,2020-02-09
